Territori;Tipus de territori;year;price_per_m2;total_rent_price
el Camp d en Grassot i Gracia Nova;Barri;2004;;
Horta - Guinardo;Districte;2004;8,28;501,24
el Baix Guinardo;Barri;2004;;
Can Baro;Barri;2004;;
el Guinardo;Barri;2004;;
la Font d en Fargues;Barri;2004;;
el Carmel;Barri;2004;;
la Teixonera;Barri;2004;;
Sant Genis dels Agudells;Barri;2004;;
Montbau;Barri;2004;;
la Vall d Hebron;Barri;2004;;
la Clota;Barri;2004;;
Horta;Barri;2004;;
Nou Barris;Districte;2004;7,94;472,72
Vilapicina i la Torre Llobeta;Barri;2004;;
Porta;Barri;2004;;
el Turo de la Peira;Barri;2004;;
Can Peguera;Barri;2004;;
la Guineueta;Barri;2004;;
Canyelles;Barri;2004;;
les Roquetes;Barri;2004;;
Verdun;Barri;2004;;
la Prosperitat;Barri;2004;;
la Trinitat Nova;Barri;2004;;
Torre Baro;Barri;2004;;
Ciutat Meridiana;Barri;2004;;
Vallbona;Barri;2004;;
Sant Andreu;Districte;2004;7,85;508,35
la Trinitat Vella;Barri;2004;;
Baro de Viver;Barri;2004;;
el Bon Pastor;Barri;2004;;
Sant Andreu;Barri;2004;;
la Sagrera;Barri;2004;;
el Congres i els Indians;Barri;2004;;
Navas;Barri;2004;;
Sant Marti;Districte;2004;8,2;531,91
el Camp de l Arpa del Clot;Barri;2004;;
el Clot;Barri;2004;;
el Parc i la Llacuna del Poblenou;Barri;2004;;
la Vila Olimpica del Poblenou;Barri;2004;;
el Poblenou;Barri;2004;;
Diagonal Mar i el Front Maritim del Poblenou;Barri;2004;;
el Besos i el Maresme;Barri;2004;;
Provencals del Poblenou;Barri;2004;;
Sant Marti de Provencals;Barri;2004;;
la Verneda i la Pau;Barri;2004;;
Barcelona;Municipi;2005;9,64;636,02
Ciutat Vella;Districte;2005;9,76;539,29
el Raval;Barri;2005;;
el Barri Gotic;Barri;2005;;
la Barceloneta;Barri;2005;;
Sant Pere Santa Caterina i la Ribera;Barri;2005;;
Eixample;Districte;2005;9,49;703,06
el Fort Pienc;Barri;2005;;
la Sagrada Familia;Barri;2005;;
la Dreta de l Eixample;Barri;2005;;
l Antiga Esquerra de l Eixample;Barri;2005;;
la Nova Esquerra de l Eixample;Barri;2005;;
Sant Antoni;Barri;2005;;
Sants Montjuic;Districte;2005;9,51;558,73
el Poble Sec - AEI Parc Montjuic;Barri;2005;;
la Marina del Prat Vermell - AEI Zona Franca;Barri;2005;;
la Marina de Port;Barri;2005;;
la Font de la Guatlla;Barri;2005;;
Hostafrancs;Barri;2005;;
la Bordeta;Barri;2005;;
Sants - Badal;Barri;2005;;
Sants;Barri;2005;;
Les Corts;Districte;2005;10,78;742,43
les Corts;Barri;2005;;
la Maternitat i Sant Ramon;Barri;2005;;
Pedralbes;Barri;2005;;
Sarria - Sant Gervasi;Districte;2005;10,85;863,57
Vallvidrera el Tibidabo i les Planes;Barri;2005;;
Sarria;Barri;2005;;
les Tres Torres;Barri;2005;;
Sant Gervasi - la Bonanova;Barri;2005;;
Sant Gervasi - Galvany;Barri;2005;;
el Putxet i el Farro;Barri;2005;;
Gracia;Districte;2005;10,18;620,95
Vallcarca i els Penitents;Barri;2005;;
el Coll;Barri;2005;;
la Salut;Barri;2005;;
la Vila de Gracia;Barri;2005;;
el Camp d en Grassot i Gracia Nova;Barri;2005;;
Horta - Guinardo;Districte;2005;9,18;552,09
el Baix Guinardo;Barri;2005;;
Can Baro;Barri;2005;;
el Guinardo;Barri;2005;;
la Font d en Fargues;Barri;2005;;
el Carmel;Barri;2005;;
la Teixonera;Barri;2005;;
Sant Genis dels Agudells;Barri;2005;;
Montbau;Barri;2005;;
la Vall d Hebron;Barri;2005;;
la Clota;Barri;2005;;
Horta;Barri;2005;;
Nou Barris;Districte;2005;8,88;513,48
Vilapicina i la Torre Llobeta;Barri;2005;;
Porta;Barri;2005;;
el Turo de la Peira;Barri;2005;;
Can Peguera;Barri;2005;;
la Guineueta;Barri;2005;;
Canyelles;Barri;2005;;
les Roquetes;Barri;2005;;
Verdun;Barri;2005;;
la Prosperitat;Barri;2005;;
la Trinitat Nova;Barri;2005;;
Torre Baro;Barri;2005;;
Ciutat Meridiana;Barri;2005;;
Vallbona;Barri;2005;;
Sant Andreu;Districte;2005;8,98;569,4
la Trinitat Vella;Barri;2005;;
Baro de Viver;Barri;2005;;
el Bon Pastor;Barri;2005;;
Sant Andreu;Barri;2005;;
la Sagrera;Barri;2005;;
el Congres i els Indians;Barri;2005;;
Navas;Barri;2005;;
Sant Marti;Districte;2005;9,2;605,93
el Camp de l Arpa del Clot;Barri;2005;;
el Clot;Barri;2005;;
el Parc i la Llacuna del Poblenou;Barri;2005;;
la Vila Olimpica del Poblenou;Barri;2005;;
el Poblenou;Barri;2005;;
Diagonal Mar i el Front Maritim del Poblenou;Barri;2005;;
el Besos i el Maresme;Barri;2005;;
Provencals del Poblenou;Barri;2005;;
Sant Marti de Provencals;Barri;2005;;
la Verneda i la Pau;Barri;2005;;
Barcelona;Municipi;2006;10,56;695,75
Ciutat Vella;Districte;2006;10,69;597,6
el Raval;Barri;2006;;
el Barri Gotic;Barri;2006;;
la Barceloneta;Barri;2006;;
Sant Pere Santa Caterina i la Ribera;Barri;2006;;
Eixample;Districte;2006;10,26;750,73
el Fort Pienc;Barri;2006;;
la Sagrada Familia;Barri;2006;;
la Dreta de l Eixample;Barri;2006;;
l Antiga Esquerra de l Eixample;Barri;2006;;
la Nova Esquerra de l Eixample;Barri;2006;;
Sant Antoni;Barri;2006;;
Sants Montjuic;Districte;2006;10,49;620,93
el Poble Sec - AEI Parc Montjuic;Barri;2006;;
la Marina del Prat Vermell - AEI Zona Franca;Barri;2006;;
la Marina de Port;Barri;2006;;
la Font de la Guatlla;Barri;2006;;
Hostafrancs;Barri;2006;;
la Bordeta;Barri;2006;;
Sants - Badal;Barri;2006;;
Sants;Barri;2006;;
Les Corts;Districte;2006;11,85;829,15
les Corts;Barri;2006;;
la Maternitat i Sant Ramon;Barri;2006;;
Pedralbes;Barri;2006;;
Sarria - Sant Gervasi;Districte;2006;11,63;917,66
Vallvidrera el Tibidabo i les Planes;Barri;2006;;
Sarria;Barri;2006;;
les Tres Torres;Barri;2006;;
Sant Gervasi - la Bonanova;Barri;2006;;
Sant Gervasi - Galvany;Barri;2006;;
el Putxet i el Farro;Barri;2006;;
Gracia;Districte;2006;11,26;668,71
Vallcarca i els Penitents;Barri;2006;;
el Coll;Barri;2006;;
la Salut;Barri;2006;;
la Vila de Gracia;Barri;2006;;
el Camp d en Grassot i Gracia Nova;Barri;2006;;
Horta - Guinardo;Districte;2006;10,18;630,0
el Baix Guinardo;Barri;2006;;
Can Baro;Barri;2006;;
el Guinardo;Barri;2006;;
la Font d en Fargues;Barri;2006;;
el Carmel;Barri;2006;;
la Teixonera;Barri;2006;;
Sant Genis dels Agudells;Barri;2006;;
Montbau;Barri;2006;;
la Vall d Hebron;Barri;2006;;
la Clota;Barri;2006;;
Horta;Barri;2006;;
Nou Barris;Districte;2006;9,94;582,13
Vilapicina i la Torre Llobeta;Barri;2006;;
Porta;Barri;2006;;
el Turo de la Peira;Barri;2006;;
Can Peguera;Barri;2006;;
la Guineueta;Barri;2006;;
Canyelles;Barri;2006;;
les Roquetes;Barri;2006;;
Verdun;Barri;2006;;
la Prosperitat;Barri;2006;;
la Trinitat Nova;Barri;2006;;
Torre Baro;Barri;2006;;
Ciutat Meridiana;Barri;2006;;
Vallbona;Barri;2006;;
Sant Andreu;Districte;2006;9,57;601,72
la Trinitat Vella;Barri;2006;;
Baro de Viver;Barri;2006;;
el Bon Pastor;Barri;2006;;
Sant Andreu;Barri;2006;;
la Sagrera;Barri;2006;;
el Congres i els Indians;Barri;2006;;
Navas;Barri;2006;;
Sant Marti;Districte;2006;10,35;682,06
el Camp de l Arpa del Clot;Barri;2006;;
el Clot;Barri;2006;;
el Parc i la Llacuna del Poblenou;Barri;2006;;
la Vila Olimpica del Poblenou;Barri;2006;;
el Poblenou;Barri;2006;;
Diagonal Mar i el Front Maritim del Poblenou;Barri;2006;;
el Besos i el Maresme;Barri;2006;;
Provencals del Poblenou;Barri;2006;;
Sant Marti de Provencals;Barri;2006;;
la Verneda i la Pau;Barri;2006;;
Barcelona;Municipi;2007;11,54;766,18
Ciutat Vella;Districte;2007;11,6;660,96
el Raval;Barri;2007;;
el Barri Gotic;Barri;2007;;
la Barceloneta;Barri;2007;;
Sant Pere Santa Caterina i la Ribera;Barri;2007;;
Eixample;Districte;2007;11,26;831,1
el Fort Pienc;Barri;2007;;
la Sagrada Familia;Barri;2007;;
la Dreta de l Eixample;Barri;2007;;
l Antiga Esquerra de l Eixample;Barri;2007;;
la Nova Esquerra de l Eixample;Barri;2007;;
Sant Antoni;Barri;2007;;
Sants Montjuic;Districte;2007;11,28;668,85
el Poble Sec - AEI Parc Montjuic;Barri;2007;;
la Marina del Prat Vermell - AEI Zona Franca;Barri;2007;;
la Marina de Port;Barri;2007;;
la Font de la Guatlla;Barri;2007;;
Hostafrancs;Barri;2007;;
la Bordeta;Barri;2007;;
Sants - Badal;Barri;2007;;
Sants;Barri;2007;;
Les Corts;Districte;2007;13,01;955,43
les Corts;Barri;2007;;
la Maternitat i Sant Ramon;Barri;2007;;
Pedralbes;Barri;2007;;
Sarria - Sant Gervasi;Districte;2007;12,71;1014,24
Vallvidrera el Tibidabo i les Planes;Barri;2007;;
Sarria;Barri;2007;;
les Tres Torres;Barri;2007;;
Sant Gervasi - la Bonanova;Barri;2007;;
Sant Gervasi - Galvany;Barri;2007;;
el Putxet i el Farro;Barri;2007;;
Gracia;Districte;2007;12,45;741,59
Vallcarca i els Penitents;Barri;2007;;
el Coll;Barri;2007;;
la Salut;Barri;2007;;
la Vila de Gracia;Barri;2007;;
el Camp d en Grassot i Gracia Nova;Barri;2007;;
Horta - Guinardo;Districte;2007;11,08;660,29
el Baix Guinardo;Barri;2007;;
Can Baro;Barri;2007;;
el Guinardo;Barri;2007;;
la Font d en Fargues;Barri;2007;;
el Carmel;Barri;2007;;
la Teixonera;Barri;2007;;
Sant Genis dels Agudells;Barri;2007;;
Montbau;Barri;2007;;
la Vall d Hebron;Barri;2007;;
la Clota;Barri;2007;;
Horta;Barri;2007;;
Nou Barris;Districte;2007;10,83;632,13
Vilapicina i la Torre Llobeta;Barri;2007;;
Porta;Barri;2007;;
el Turo de la Peira;Barri;2007;;
Can Peguera;Barri;2007;;
la Guineueta;Barri;2007;;
Canyelles;Barri;2007;;
les Roquetes;Barri;2007;;
Verdun;Barri;2007;;
la Prosperitat;Barri;2007;;
la Trinitat Nova;Barri;2007;;
Torre Baro;Barri;2007;;
Ciutat Meridiana;Barri;2007;;
Vallbona;Barri;2007;;
Sant Andreu;Districte;2007;10,72;675,82
la Trinitat Vella;Barri;2007;;
Baro de Viver;Barri;2007;;
el Bon Pastor;Barri;2007;;
Sant Andreu;Barri;2007;;
la Sagrera;Barri;2007;;
el Congres i els Indians;Barri;2007;;
Navas;Barri;2007;;
Sant Marti;Districte;2007;11,21;730,62
el Camp de l Arpa del Clot;Barri;2007;;
el Clot;Barri;2007;;
el Parc i la Llacuna del Poblenou;Barri;2007;;
la Vila Olimpica del Poblenou;Barri;2007;;
el Poblenou;Barri;2007;;
Diagonal Mar i el Front Maritim del Poblenou;Barri;2007;;
el Besos i el Maresme;Barri;2007;;
Provencals del Poblenou;Barri;2007;;
Sant Marti de Provencals;Barri;2007;;
la Verneda i la Pau;Barri;2007;;
Barcelona;Municipi;2008;12,24;813,02
Ciutat Vella;Districte;2008;12,57;729,59
el Raval;Barri;2008;;
el Barri Gotic;Barri;2008;;
la Barceloneta;Barri;2008;;
Sant Pere Santa Caterina i la Ribera;Barri;2008;;
Eixample;Districte;2008;11,89;891,64
el Fort Pienc;Barri;2008;;
la Sagrada Familia;Barri;2008;;
la Dreta de l Eixample;Barri;2008;;
l Antiga Esquerra de l Eixample;Barri;2008;;
la Nova Esquerra de l Eixample;Barri;2008;;
Sant Antoni;Barri;2008;;
Sants Montjuic;Districte;2008;12,22;725,94
el Poble Sec - AEI Parc Montjuic;Barri;2008;;
la Marina del Prat Vermell - AEI Zona Franca;Barri;2008;;
la Marina de Port;Barri;2008;;
la Font de la Guatlla;Barri;2008;;
Hostafrancs;Barri;2008;;
la Bordeta;Barri;2008;;
Sants - Badal;Barri;2008;;
Sants;Barri;2008;;
Les Corts;Districte;2008;13,38;990,58
les Corts;Barri;2008;;
la Maternitat i Sant Ramon;Barri;2008;;
Pedralbes;Barri;2008;;
Sarria - Sant Gervasi;Districte;2008;13,29;1081,91
Vallvidrera el Tibidabo i les Planes;Barri;2008;;
Sarria;Barri;2008;;
les Tres Torres;Barri;2008;;
Sant Gervasi - la Bonanova;Barri;2008;;
Sant Gervasi - Galvany;Barri;2008;;
el Putxet i el Farro;Barri;2008;;
Gracia;Districte;2008;13,02;792,07
Vallcarca i els Penitents;Barri;2008;;
el Coll;Barri;2008;;
la Salut;Barri;2008;;
la Vila de Gracia;Barri;2008;;
el Camp d en Grassot i Gracia Nova;Barri;2008;;
Horta - Guinardo;Districte;2008;12,04;718,36
