location,price,size,rooms,price/m2,bathrooms,type,region
Abrera,453200,413,5,1097.34,4,Piso,baix_llobregat_nord
Abrera,330000,225,4,1466.67,3,Piso,baix_llobregat
Abrera,583275,300,5,1944.25,4,Casa,baix_llobregat
Abrera,245000,336,4,729.17,3,Casa,barcelona
Abrera,477000,237,4,2012.66,3,Casa,baix_llobregat
Abrera,369999,223,5,1659.19,4,Piso,baix_llobregat
Abrera,289000,189,6,1529.1,3,Piso,baix_llobregat
Abrera,295000,189,4,1560.85,2,Casa,baix_llobregat
Abrera,240000,135,4,1777.78,2,Casa,baix_llobregat
Abrera,125000,84,3,1488.1,2,Casa,baix_llobregat
Abrera,355000,200,5,1775.0,2,Piso,baix_llobregat
Abrera,377000,195,4,1933.33,3,Casa,barcelona
Abrera,330000,252,5,1309.52,4,Piso,baix_llobregat
Abrera,371000,135,5,2748.15,2,Piso,baix_llobregat
Abrera,295000,189,4,1560.85,2,Piso,baix_llobregat
Abrera,249000,171,4,1456.14,2,Piso,baix_llobregat
Abrera,198740,93,3,2136.99,2,Piso,baix_llobregat
Abrera,188000,184,5,1021.74,1,Piso,baix_llobregat
Abrera,159000,81,3,1962.96,2,Piso,baix_llobregat
Abrera,391000,128,6,3054.69,2,Piso,baix_llobregat
Abrera,125000,84,3,1488.1,2,Piso,baix_llobregat
Agramunt,100000,147,4,680.27,2,Piso,lleida
Agramunt,100000,112,4,892.86,2,Piso,lleida
Agramunt,44700,82,3,545.12,1,Piso,lleida
Agramunt,23000,61,3,377.05,1,Piso,lleida
Agramunt,46000,78,3,589.74,1,Piso,lleida
Agramunt,90000,144,5,625.0,2,Piso,lleida
Agramunt,55000,87,3,632.18,1,Piso,lleida
Agramunt,51600,80,3,645.0,1,Piso,lleida
Agramunt,44700,74,3,604.05,1,Piso,lleida
Agramunt,50000,60,2,833.33,1,Piso,lleida
Agramunt,55000,101,3,544.55,1,Piso,lleida
Agramunt,100000,112,3,892.86,2,Piso,lleida
Agramunt,124100,383,4,324.02,2,Piso,lleida
