Territori,Tipus de territori,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Horta-Guinardó,Districte,5.75,6.45,7.09,7.65,8.28,9.18,10.18,11.08,12.04,11.39,10.80,10.57,10.10,9.32,9.03,9.92,10.73,11.88,11.87,12.71,12.78,12.22,13.10,14.48,14.58
el Baix Guinardó,Barri,-,-,-,-,-,-,-,-,-,-,-,-,-,-,9.56,10.57,11.43,12.59,12.66,13.50,13.76,12.64,14.04,15.48,15.73
Can Baró,Barri,-,-,-,-,-,-,-,-,-,-,-,-,-,-,9.42,10.09,11.50,12.42,12.15,13.40,12.95,12.53,13.68,14.97,15.92
el Guinardó,Barri,-,-,-,-,-,-,-,-,-,-,-,-,-,-,9.18,10.36,11.14,12.28,12.07,12.92,13.20,12.60,13.44,14.95,15.02
la Font d'en Fargues,Barri,-,-,-,-,-,-,-,-,-,-,-,-,-,-,9.26,11.37,11.89,13.11,12.10,12.85,12.90,12.14,13.51,15.50,15.66
el Carmel,Barri,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8.63,9.11,9.82,11.01,11.33,12.09,11.98,11.77,12.68,13.50,13.66
la Teixonera,Barri,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8.35,9.51,10.18,11.18,12.12,12.60,12.10,12.15,13.19,14.62,14.62
Sant Genís dels Agudells,Barri,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7.75,8.32,8.73,9.52,9.68,10.65,10.62,10.31,10.76,12.02,11.06
Montbau,Barri,-,-,-,-,-,-,-,-,-,-,-,-,-,-,9.27,10.07,10.29,12.52,11.02,11.88,11.89,11.19,11.89,13.77,13.96
la Vall d'Hebron,Barri,-,-,-,-,-,-,-,-,-,-,-,-,-,-,9.95,10.07,11.23,12.16,12.32,13.32,12.23,12.66,13.69,14.95,15.52
la Clota,Barri,-,-,-,-,-,-,-,-,-,-,-,-,-,-,10.45,7.97,12.32,15.07,7.97,11.45,11.45,12.10,-,15.46,11.63
Horta,Barri,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8.94,9.52,10.60,11.65,11.80,12.46,12.63,11.95,12.45,13.92,14.31
Nou Barris,Districte,5.41,6.25,7.15,7.28,7.94,8.88,9.94,10.83,11.48,11.17,10.74,10.33,9.48,8.75,8.40,8.87,9.65,10.55,11.22,11.70,11.72,11.28,12.08,13.26,13.13
Vilapicina i la Torre Llobeta,Barri,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8.80,9.32,10.49,11.37,11.57,12.17,12.31,11.56,12.75,13.69,14.12
Porta,Barri,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8.64,9.10,10.05,10.80,11.44,12.33,12.06,11.48,12.28,13.51,13.56
el Turó de la Peira,Barri,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7.81,8.34,9.45,10.59,11.30,11.70,11.59,11.27,11.91,12.56,13.31
Can Peguera,Barri,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5.29,5.79,8.07,11.18,8.08,11.92,-,-,-,-,-
